City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mount Gambier,-37.83,140.77,8.0,100,90,2.1,AU,1595361004
Souillac,-20.52,57.52,21.0,60,75,4.6,MU,1595361077
Ciudad Bolivar,8.12,-63.55,32.32,53,97,3.64,VE,1595361166
Lebu,-37.62,-73.65,11.84,78,100,5.16,CL,1595361271
Dikson,73.51,80.55,3.69,93,100,6.01,RU,1595361271
Los Llanos de Aridane,28.66,-17.92,23.0,69,20,7.2,ES,1595361159
Yaguajay,22.33,-79.24,27.6,80,100,4.37,CU,1595361271
Comodoro Rivadavia,-45.87,-67.5,5.0,75,75,6.7,AR,1595361175
Acaraú,-2.89,-40.12,27.91,67,92,5.75,BR,1595361256
Patea,-39.76,174.48,7.78,96,16,2.72,NZ,1595361005
Turkmenabat,39.07,63.58,34.0,12,0,5.1,TM,1595361272
Kūhdasht,33.53,47.61,24.26,19,0,1.11,IR,1595361272
La Roda,39.22,-2.15,29.0,21,19,4.6,ES,1595361272
Punta Arenas,-53.15,-70.92,-1.0,92,22,3.6,CL,1595361168
Nanortalik,60.14,-45.24,11.06,72,81,7.74,GL,1595361236
Castro,-24.79,-50.01,19.94,65,3,1.83,BR,1595361054
Cap Malheureux,-19.98,57.61,20.0,64,79,1.34,MU,1595361096
Guibéroua,6.24,-6.17,22.42,99,14,1.38,CI,1595361273
Makakilo City,21.35,-158.09,28.0,58,20,2.1,US,1595361250
Nālūt,30.33,10.85,27.94,17,0,7.09,LY,1595361168
Atuona,-9.8,-139.03,26.35,75,4,9.13,PF,1595360991
College,64.86,-147.8,12.0,93,90,5.1,US,1595361168
Yangi Marg`ilon,40.43,71.72,23.0,46,0,4.1,UZ,1595361168
Hong Kong,22.29,114.16,27.78,83,2,2.68,HK,1595361153
Qaanaaq,77.48,-69.36,9.75,53,16,2.25,GL,1595361009
Shīeli,44.17,66.75,23.91,21,0,2.68,KZ,1595361274
Namtsy,62.72,129.67,16.0,72,40,5.0,RU,1595361274
Tiksi,71.69,128.87,9.12,86,98,2.35,RU,1595361072
Avarua,-21.21,-159.78,24.0,88,41,9.3,CK,1595360997
Saldanha,-33.01,17.94,13.0,87,0,1.0,ZA,1595361274
Pemangkat,1.17,108.97,25.57,82,64,0.87,ID,1595361275
Ocampo,21.65,-101.5,23.44,39,63,1.11,MX,1595361275
Port Elizabeth,-33.92,25.57,13.0,82,0,2.1,ZA,1595361275
East London,-33.02,27.91,17.85,45,0,3.44,ZA,1595361073
Waipawa,-41.41,175.52,10.0,85,60,5.49,NZ,1595361275
San Cristobal,7.77,-72.22,31.0,58,40,3.1,VE,1595361096
Nuuk,64.18,-51.72,13.0,58,75,3.1,GL,1595361212
Faanui,-16.48,-151.75,25.11,83,55,10.8,PF,1595361275
Tasiilaq,65.61,-37.64,9.0,66,20,4.6,GL,1595360994
Jiuquan,39.74,98.52,22.19,30,75,1.05,CN,1595361015
Lubāna,56.9,26.72,12.35,86,6,2.23,LV,1595361276
Urusha,54.05,122.9,8.04,95,90,0.31,RU,1595361276
Ilebo,-4.32,20.58,23.49,41,0,0.12,CD,1595361015
Ust-Maya,60.42,134.53,14.28,62,100,5.26,RU,1595361171
Nikolskoye,59.7,30.79,18.89,77,75,5.0,RU,1595361001
Inhambane,-23.86,35.38,20.0,68,75,2.1,MZ,1595361016
Mahébourg,-20.41,57.7,21.0,60,75,4.6,MU,1595361058
Lake Charles,30.21,-93.2,33.0,74,75,5.1,US,1595361016
Geraldton,-28.77,114.6,9.0,93,0,3.6,AU,1595361277
Arraial do Cabo,-22.97,-42.03,27.0,73,0,4.6,BR,1595360997
Tuatapere,-46.13,167.68,3.89,83,56,1.34,NZ,1595361277
Lokosovo,61.13,74.82,12.32,81,28,2.81,RU,1595361173
Meulaboh,4.14,96.13,24.5,89,100,2.42,ID,1595361018
Thompson,55.74,-97.86,27.0,36,75,5.1,CA,1595361067
Malé,4.17,73.51,28.0,83,75,8.2,MV,1595361124
Manzanillo,20.34,-77.12,32.44,55,52,2.5,CU,1595361278
Ushtobe,45.25,77.98,23.03,59,69,4.01,KZ,1595361278
Narsaq,60.92,-46.05,19.0,39,40,4.1,GL,1595361096
Leningradskiy,69.38,178.42,9.09,64,100,4.51,RU,1595361279
Barrow,71.29,-156.79,1.0,80,90,3.1,US,1595361020
Mount Isa,-20.73,139.5,15.0,33,0,3.6,AU,1595361091
Gouyave,12.16,-61.73,32.0,62,20,7.7,GD,1595361281
Khandyga,62.67,135.6,15.8,63,0,0.28,RU,1595361084
Bahía Solano,6.23,-77.4,26.56,79,100,3.12,CO,1595361021
Manche,49.0,-1.17,18.0,55,0,4.6,FR,1595361281
Agadez,19.75,10.25,31.57,17,0,1.25,NE,1595361175
Kahului,20.89,-156.47,28.0,61,40,4.6,US,1595361282
Yellowknife,62.46,-114.35,23.33,73,75,3.1,CA,1595361282
Esterhazy,50.65,-102.08,21.98,64,17,1.05,CA,1595361176
Leh,34.17,77.58,11.01,53,54,3.31,IN,1595361283
Labuhan,-6.88,112.21,25.43,86,82,3.59,ID,1595361176
Cabo San Lucas,22.89,-109.91,33.0,54,20,7.7,MX,1595361283
Kismayo,-0.36,42.55,25.26,76,100,9.5,SO,1595361023
Provideniya,64.38,-173.3,7.0,87,90,3.0,RU,1595361283
Vanimo,-2.67,141.3,25.47,86,50,2.35,PG,1595361284
Dubbo,-32.25,148.62,4.0,93,72,4.6,AU,1595361177
Paamiut,61.99,-49.67,9.34,82,94,9.1,GL,1595361284
Bluff,-46.6,168.33,3.89,83,98,1.34,NZ,1595361284
Kamenka,51.32,42.77,20.0,65,0,3.12,RU,1595361285
Griffith,41.53,-87.42,24.0,94,75,3.1,US,1595361044
Yumen,40.28,97.2,24.1,31,100,8.94,CN,1595361285
Mar del Plata,-38.0,-57.56,11.11,93,90,7.2,AR,1595361097
Butaritari,3.07,172.79,26.95,78,100,4.5,KI,1595361058
Bengkulu,-3.8,102.27,25.46,82,99,2.53,ID,1595361026
Dunda,-8.12,34.25,17.53,60,99,1.59,TZ,1595361026
Kolosovka,56.47,73.61,13.05,83,34,1.75,RU,1595361285
Ulaangom,49.98,92.07,18.11,75,100,2.62,MN,1595361026
Piaçabuçu,-10.41,-36.43,24.09,81,15,4.23,BR,1595361027
Saskylakh,71.92,114.08,8.99,76,100,6.16,RU,1595361286
Cherskiy,68.75,161.3,20.97,40,29,3.74,RU,1595361027
Lagoa,39.05,-27.98,20.82,75,0,2.27,PT,1595361069
Saint George,37.1,-113.58,37.78,17,20,5.7,US,1595361016
Norman Wells,65.28,-126.83,11.0,93,90,5.7,CA,1595361073
Andros Town,24.7,-77.77,32.0,62,75,6.7,BS,1595361013
Eau Claire,44.81,-91.5,22.78,83,90,2.6,US,1595361022
Araouane,18.9,-3.53,37.12,27,74,8.92,ML,1595361021
Saint-Philippe,-21.36,55.77,18.0,82,75,2.1,RE,1595361051
Bethel,41.37,-73.41,32.22,43,20,2.6,US,1595361077
Mossamedes,-15.2,12.15,19.56,70,35,1.95,AO,1595361121
Hithadhoo,-0.6,73.08,28.92,76,97,4.59,MV,1595361180
Cockburn Town,21.46,-71.14,31.0,62,40,6.2,TC,1595361180
Tautira,-17.73,-149.15,27.0,69,20,3.1,PF,1595361288
Srednekolymsk,67.45,153.68,22.99,33,38,7.82,RU,1595361288
Shinpokh,34.33,71.18,29.0,61,40,4.1,PK,1595361288
Kirakira,-10.45,161.92,24.18,81,44,3.47,SB,1595361246
Yulara,-25.24,130.99,9.0,81,18,3.1,AU,1595361218
Bontang,0.13,117.5,25.48,84,9,1.19,ID,1595361289
Malumfashi,11.79,7.62,24.12,78,9,3.4,NG,1595361289
Vila Franca do Campo,37.72,-25.43,21.0,73,40,3.1,PT,1595361031
Ixtapa,20.7,-105.2,32.22,74,20,4.6,MX,1595361242
Itarema,-2.92,-39.92,27.63,68,97,6.53,BR,1595361031
Kavieng,-2.57,150.8,27.81,74,3,2.65,PG,1595361031
Pangody,65.85,74.49,7.53,80,0,4.14,RU,1595361182
Benghazi,32.12,20.07,24.96,71,0,7.97,LY,1595361289
Chebenki,51.93,55.71,22.0,46,100,3.0,RU,1595361182
Maceió,-9.67,-35.74,26.0,69,40,4.6,BR,1595361032
Naze,28.37,129.48,25.0,94,100,0.5,JP,1595361032
Iqaluit,63.75,-68.51,9.0,87,90,5.1,CA,1595361000
Ahipara,-35.17,173.17,11.68,78,54,10.83,NZ,1595361290
Coroatá,-4.13,-44.12,30.92,51,95,1.24,BR,1595361033
Puerto López,4.08,-72.96,29.93,67,95,1.91,CO,1595361290
Bānswāra,23.55,74.45,28.31,71,95,4.69,IN,1595361291
Imbituba,-28.24,-48.67,27.0,44,5,3.6,BR,1595361034
Kavaratti,10.57,72.64,28.02,79,100,6.91,IN,1595361118
Tres Arroyos,-38.37,-60.28,9.84,90,100,7.36,AR,1595361291
Ostrovnoy,68.05,39.51,16.11,71,0,5.15,RU,1595361081
Solnechnyy,50.72,136.63,16.18,95,99,1.39,RU,1595361179
Boende,-0.22,20.87,25.08,60,40,0.89,CD,1595361291
George Town,5.41,100.34,26.0,100,40,2.1,MY,1595361112
Kieta,-6.22,155.63,25.25,80,46,2.26,PG,1595361070
Drummondville,45.88,-72.48,24.44,58,12,3.12,CA,1595361292
La Sarre,48.8,-79.2,21.7,52,70,3.47,CA,1595361246
Coos Bay,43.37,-124.22,23.89,77,20,7.7,US,1595361292
Ballina,-28.87,153.57,12.0,81,40,4.1,AU,1595361036
Fairbanks,64.84,-147.72,12.0,93,90,4.6,US,1595361002
Makat,47.65,53.35,31.7,27,100,3.24,KZ,1595361292
Te Anau,-45.42,167.72,0.21,94,32,0.58,NZ,1595361293
Escanaba,45.75,-87.06,21.11,68,75,4.1,US,1595361293
Upernavik,72.79,-56.15,9.61,63,100,0.8,GL,1595361293
Grand-Santi,4.25,-54.38,29.17,69,87,1.47,GF,1595361038
Bahir Dar,11.59,37.39,16.28,91,100,1.5,ET,1595361294
Srīvardhan,18.03,73.02,27.31,86,100,1.99,IN,1595361039
Broome,42.25,-75.83,28.89,54,1,1.5,US,1595361294
Kodinsk,58.69,99.18,14.71,54,95,1.77,RU,1595361039
Khatanga,71.97,102.5,12.76,63,78,4.67,RU,1595361294
Lingao,19.91,109.69,26.66,82,0,4.39,CN,1595361040
Arrondissement de Rochefort,45.92,-1.0,29.0,32,0,6.7,FR,1595361186
Saint-Augustin,51.23,-58.65,25.51,43,20,6.39,CA,1595361295
Quatre Cocos,-20.21,57.76,21.0,60,75,4.6,MU,1595361295
Weifang,36.71,119.1,21.23,93,100,2.54,CN,1595361040
Port Lincoln,-34.73,135.87,9.81,71,1,2.78,AU,1595361295
Hilo,19.73,-155.09,27.0,65,1,3.1,US,1595361165
Görele,41.03,39.0,24.0,69,75,1.0,TR,1595361295
Pyapon,16.28,95.68,27.13,85,100,1.52,MM,1595361187
Kyren,51.68,102.14,15.61,61,82,1.25,RU,1595361296
San Miguel de Tucumán,-26.82,-65.22,16.0,63,90,3.1,AR,1595361041
Eirunepé,-6.66,-69.87,32.76,46,68,1.09,BR,1595361296
Wanning,18.8,110.4,26.89,84,87,1.8,CN,1595361296
Baruun-Urt,46.68,113.28,17.22,63,0,3.25,MN,1595361188
Baffa,34.44,73.22,20.33,58,89,1.98,PK,1595361296
Airai,-8.93,125.41,12.45,97,92,1.61,TL,1595361297
Gouré,13.98,10.27,28.89,63,7,1.4,NE,1595361188
Şelaru,44.47,25.3,25.56,61,51,1.0,RO,1595361297
São Gabriel da Cachoeira,-0.13,-67.09,26.0,88,40,1.0,BR,1595361247
Viedma,-40.81,-63.0,8.89,89,100,1.79,AR,1595361043
Bonavista,48.65,-53.11,21.2,68,92,8.72,CA,1595361043
Jiaojiang,28.68,121.44,26.11,99,100,2.17,CN,1595361043
Nome,64.5,-165.41,11.67,81,90,5.1,US,1595361110
Bam,29.11,58.36,29.8,13,0,7.33,IR,1595361298
Ola,59.58,151.28,14.41,67,73,0.99,RU,1595361298
Chany,55.31,76.76,12.82,81,0,3.02,RU,1595361298
Tāybād,34.74,60.78,25.49,18,0,4.34,IR,1595361088
Aswān,24.09,32.91,34.25,15,19,6.75,EG,1595361299
Necochea,-38.55,-58.74,10.0,98,100,6.71,AR,1595361055
Druzhba,52.04,33.95,16.01,90,45,4.41,UA,1595361299
Morondava,-20.28,44.28,20.66,75,0,5.76,MG,1595361299
Domoni,-12.26,44.53,23.1,73,0,4.25,KM,1595361191
Calabozo,8.92,-67.43,28.37,81,96,0.17,VE,1595361299
Cidreira,-30.18,-50.21,21.16,69,100,2.13,BR,1595361203
Beringovskiy,63.05,179.32,9.19,74,0,1.67,RU,1595361300
Areia Branca,-4.96,-37.14,28.18,68,85,5.81,BR,1595361158
Witu,-2.39,40.44,24.05,78,100,6.55,KE,1595361192
Pemba,-12.97,40.52,24.0,78,20,8.2,MZ,1595361046
Lata,40.16,-8.33,26.11,64,20,2.6,PT,1595361192
Pimenta Bueno,-11.67,-61.19,34.06,23,0,1.55,BR,1595361047
Quelimane,-17.88,36.89,20.0,82,1,2.1,MZ,1595361276
Tuktoyaktuk,69.45,-133.04,6.0,75,75,3.1,CA,1595361301
Vigrestad,58.57,5.7,12.78,86,0,1.79,NO,1595361301
Mountain Home,43.13,-115.69,33.0,17,1,5.73,US,1595361047
Sol'-Iletsk,51.16,54.99,20.85,62,100,2.35,RU,1595361301
Krasnyy Chikoy,50.36,108.75,13.61,80,45,1.37,RU,1595361094
Korem,12.51,39.52,13.66,87,100,3.21,ET,1595361302
Prince Rupert,54.32,-130.32,13.0,93,90,3.1,CA,1595361130
Olinda,-8.01,-34.86,27.0,61,40,5.7,BR,1595361195
Arman',59.7,150.17,15.19,68,27,0.95,RU,1595361302
Ananas,19.25,-71.96,31.0,62,20,6.2,HT,1595361302
Morgan City,29.7,-91.21,31.11,74,75,5.1,US,1595361302
Egvekinot,66.32,-179.17,8.77,63,89,1.19,RU,1595361059
Saint Cloud,45.56,-94.16,25.56,65,75,4.6,US,1595361254
Pout,14.77,-17.06,25.0,94,40,3.6,SN,1595361196
Chicama,-7.84,-79.15,21.66,59,39,4.7,PE,1595361303
Malabon,15.64,119.94,26.59,76,95,1.9,PH,1595361196
Aromashevo,56.86,68.64,13.99,79,36,1.81,RU,1595361197
Praia da Vitória,38.73,-27.07,25.0,61,20,1.7,PT,1595361303
Lixouri,38.2,20.43,27.0,54,0,5.7,GR,1595361050
El Copé,8.62,-80.6,29.0,87,75,2.1,PA,1595361303
Batagay,67.63,134.63,22.04,53,54,2.29,RU,1595361304
Guiglo,6.55,-7.5,22.21,96,98,1.85,CI,1595361050
Shelburne,44.08,-80.2,25.0,47,20,2.1,CA,1595361304
Ponta do Sol,32.67,-17.1,24.0,64,20,6.7,PT,1595361051
Kirensk,57.79,108.11,8.28,87,0,0.47,RU,1595361051
Sisimiut,66.94,-53.67,13.05,70,100,3.25,GL,1595361051
São José da Coroa Grande,-8.9,-35.15,24.41,74,3,4.61,BR,1595361305
Disna,55.57,28.2,14.25,87,41,5.21,BY,1595361051
Xique-Xique,-10.82,-42.73,28.6,44,1,4.81,BR,1595361305
Fare,-16.7,-151.02,25.25,80,13,11.35,PF,1595361305
Abasolo,20.45,-101.52,25.0,53,75,2.03,MX,1595361052
Lenger,42.18,69.88,26.0,27,0,3.0,KZ,1595361305
Topolobampo,25.6,-109.05,34.44,52,75,4.1,MX,1595361148
Diego de Almagro,-26.37,-70.05,19.85,28,99,4.42,CL,1595361306
Skibotn,69.39,20.27,11.0,93,75,7.2,NO,1595361200
Ginda,30.69,78.49,15.47,72,0,2.01,IN,1595361306
Soyo,-6.13,12.37,22.08,85,0,4.81,AO,1595361306
Shimoda,34.67,138.95,21.67,94,98,3.02,JP,1595361053
Sunbury,-37.58,144.73,8.0,93,75,3.1,AU,1595361201
Machalí,-34.18,-70.67,6.73,82,100,1.35,CL,1595361054
Talara,-4.58,-81.27,26.0,54,90,5.7,PE,1595361306
Caravelas,-17.71,-39.25,22.67,70,0,2.32,BR,1595361054
Westport,41.14,-73.36,33.89,43,40,3.6,US,1595361054
Rivne,50.62,26.23,18.33,64,8,1.34,UA,1595361202
Tashla,51.77,52.74,19.96,68,100,1.53,RU,1595361202
Padang,-0.95,100.35,25.47,80,100,1.42,ID,1595361203
Kumul,42.8,93.45,23.28,48,10,3.7,CN,1595361098
Phalia,32.43,73.58,29.21,63,37,2.4,PK,1595361203
Kinshasa,-4.32,15.32,27.0,78,0,0.96,CD,1595361186
Mayo,38.89,-76.51,34.44,55,1,3.6,US,1595361307
Arrondissement du Havre,49.58,0.33,18.0,63,0,5.7,FR,1595361056
São Filipe,14.9,-24.5,25.34,77,97,2.49,CV,1595361308
Santa Cruz del Norte,23.15,-81.92,28.0,78,75,4.6,CU,1595361308
Klaksvík,62.23,-6.59,11.0,81,4,4.6,FO,1595361308
Lahat,-3.8,103.53,22.1,92,51,1.07,ID,1595361204
Bathsheba,13.22,-59.52,32.0,55,40,8.2,BB,1595361192
Faya,18.39,42.45,21.0,88,93,2.1,SA,1595361057
Mabaruma,8.2,-59.78,27.68,81,100,2.42,GY,1595361205
George Town,5.41,100.34,26.0,100,40,2.1,MY,1595361309
Vytegra,61.01,36.45,15.4,96,100,2.12,RU,1595361309
Kaitangata,-46.28,169.85,5.0,63,29,4.92,NZ,1595361064
Sobolevo,54.43,31.9,15.29,95,32,4.06,RU,1595361309
Zhicheng,30.3,111.5,26.11,91,100,1.29,CN,1595361058
Adeje,28.12,-16.73,25.0,64,0,8.7,ES,1595361058
Ilulissat,69.22,-51.1,12.0,50,75,2.6,GL,1595361310
Brasília,-15.78,-47.93,27.0,36,0,4.1,BR,1595361207
Constitución,-35.33,-72.42,12.3,77,99,4.09,CL,1595361310
Kruisfontein,-34.0,24.73,16.18,37,0,3.89,ZA,1595361310
Ancud,-41.87,-73.82,10.0,66,100,4.1,CL,1595361105
Jaisalmer,26.91,70.92,30.7,64,30,9.08,IN,1595361310
Forsytheganj,52.63,29.73,15.55,91,0,4.31,BY,1595361059
Christchurch,-43.53,172.63,8.0,75,86,7.2,NZ,1595361099
Berlevåg,70.86,29.09,13.0,100,40,4.1,NO,1595361093
Ampanihy,-24.7,44.75,15.94,74,0,4.94,MG,1595361308
Meridian,43.61,-116.39,33.89,24,1,3.41,US,1595361245
Szczytno,53.56,20.99,15.0,77,0,2.6,PL,1595361191
San Patricio,19.22,-104.7,33.0,70,20,5.1,MX,1595361060
Clarence Town,-32.58,151.78,8.33,100,1,2.6,AU,1595361311
Koutiala,12.39,-5.46,28.6,62,3,2.72,ML,1595361311
Karachi,24.91,67.08,30.0,74,75,3.1,PK,1595361313
San Miguel,13.48,-88.18,34.0,46,40,4.6,SV,1595361061
Lompoc,34.64,-120.46,18.89,77,44,5.1,US,1595361061
La Orilla,17.98,-102.23,30.44,71,91,4.03,MX,1595361313
Port Moresby,-9.44,147.18,22.0,94,20,1.5,PG,1595361314
Bud,39.45,-86.18,31.11,69,88,2.73,US,1595361314
Rathdrum,47.81,-116.89,32.22,32,1,3.6,US,1595361314
Esperance,-33.87,121.9,8.0,75,0,7.7,AU,1595361071
La Rioja,42.25,-2.5,22.0,78,75,3.6,ES,1595361062
Acajutiba,-11.66,-38.02,21.84,88,46,3.53,BR,1595361315
San Vicente de Chucurí,6.88,-73.41,28.0,73,75,4.1,CO,1595361315
Florianópolis,-27.61,-48.5,27.0,44,57,3.6,BR,1595361316
Baturaja,-4.13,104.17,22.7,96,75,1.15,ID,1595361212
Torbay,47.67,-52.73,25.56,73,20,9.3,CA,1595361316
Uspenka,48.39,39.16,20.27,61,49,2.58,UA,1595361063
Honningsvåg,70.98,25.97,10.0,93,75,0.5,NO,1595361117
West Odessa,31.84,-102.5,33.33,29,1,5.7,US,1595361063
Pangkalanbuun,-2.68,111.62,23.37,98,81,1.01,ID,1595361064
Mil'kovo,54.72,158.62,9.2,82,100,2.65,RU,1595361064
Chui,-33.7,-53.46,19.74,84,100,2.6,UY,1595361080
High Rock,26.62,-78.28,30.0,79,75,6.2,BS,1595361317
Chengzhong,30.95,113.55,28.0,88,100,5.0,CN,1595361318
Kutum,14.2,24.67,27.45,44,46,4.66,SD,1595361318
Ostuni,40.73,17.58,27.22,78,0,3.6,IT,1595361318
Hualmay,-11.1,-77.61,18.36,69,30,3.57,PE,1595361097
Porto Santo,33.07,-16.34,22.0,73,40,7.2,PT,1595361214
Hanna,51.63,-111.9,24.44,53,100,5.36,CA,1595361065
Grand Gaube,-20.01,57.66,20.0,64,74,1.34,MU,1595361057
Ol'ga,43.74,135.29,15.16,92,3,0.74,RU,1595361319
Laguna,38.42,-121.42,28.33,44,1,5.7,US,1595361066
Tacuarembó,-31.73,-55.98,19.75,79,100,3.79,UY,1595361086
Hamilton,39.18,-84.53,34.44,59,20,2.6,US,1595361071
Tamandaré,-8.76,-35.1,24.69,72,0,4.64,BR,1595361320
Saint-Louis,16.33,-15.0,34.63,44,76,4.26,SN,1595361320
Camacupa,-12.02,17.48,12.72,43,0,0.16,AO,1595361217
Darnah,32.77,22.64,24.0,83,0,9.11,LY,1595361066
Lere,10.39,8.57,21.27,88,36,1.0,NG,1595361067
Roald,62.58,6.13,10.0,81,75,3.6,NO,1595361067
Juelsminde,55.71,10.02,14.0,71,0,3.6,DK,1595361321
Williams Lake,52.14,-122.14,20.0,64,75,0.95,CA,1595361240
Puerto Maldonado,-12.6,-69.18,33.0,55,40,2.6,PE,1595361218
Otane,-39.88,176.63,7.78,84,99,4.02,NZ,1595361219
North Platte,41.12,-100.77,28.89,50,0,0.89,US,1595361026
Porangatu,-13.44,-49.15,32.15,26,0,2.7,BR,1595361323
Tcholliré,8.4,14.17,22.51,91,32,0.4,CM,1595361323
Tonekābon,36.82,50.87,27.0,78,0,2.1,IR,1595361323
Esim,4.87,-2.24,24.34,90,70,3.75,GH,1595361323
Fort Nelson,58.81,-122.7,23.0,53,75,2.6,CA,1595361192
Husavik,66.04,-17.34,12.0,71,75,5.7,IS,1595361324
Clyde River,70.47,-68.59,8.0,93,75,4.1,CA,1595361324
Prachuap Khiri Khan,11.82,99.78,25.66,82,100,1.8,TH,1595361069
Øksfjord,70.24,22.35,11.67,100,75,5.1,NO,1595361324
Assiniboia,49.63,-105.98,24.57,37,0,1.91,CA,1595361070
Dingle,11.0,122.67,24.35,89,89,1.8,PH,1595361325
Fort Abbas,29.19,72.85,26.33,88,100,7.07,PK,1595361222
North Bend,43.41,-124.22,23.89,77,20,7.7,US,1595361325
Chokurdakh,70.63,147.92,22.16,46,100,5.27,RU,1595361062
Lagos,6.58,3.75,26.0,83,40,2.1,NG,1595361141
Baker City,44.77,-117.83,33.0,21,1,2.6,US,1595361325
Galle,6.04,80.22,26.68,86,99,2.56,LK,1595361326
Aleksandrov Gay,50.15,48.57,23.54,44,100,3.33,RU,1595361223
La Santisima Trinidad,-14.83,-64.9,32.0,55,20,4.1,BO,1595361326
Kadoma,34.73,135.58,27.22,2,54,1.38,JP,1595361326
Bilma,18.69,12.92,34.96,21,1,4.35,NE,1595361326
Lodja,-3.48,23.43,24.63,41,0,0.38,CD,1595361182
Aksu,41.12,80.26,25.5,32,100,4.9,CN,1595361173
Codrington,-38.27,141.97,9.67,78,100,3.57,AU,1595361066
Avera,33.19,-82.53,34.0,49,40,4.1,US,1595361072
Hereford,52.06,-2.71,17.78,70,42,2.12,GB,1595361072
Kulhudhuffushi,6.62,73.07,28.44,74,100,8.47,MV,1595361314
Loja,-3.99,-79.2,25.0,50,75,5.7,EC,1595361327
St. George's,12.06,-61.75,32.0,62,20,7.7,GD,1595361327
Ust-Nera,64.57,143.2,22.16,47,97,2.33,RU,1595361073
Samarai,-10.62,150.67,24.45,81,100,7.42,PG,1595361073
Hambantota,6.12,81.12,27.12,84,100,5.37,LK,1595361225
Gaillac,43.9,1.9,30.0,65,0,5.7,FR,1595361329
Gairo,39.85,9.5,25.0,78,20,4.1,IT,1595361329
Drumnadrochit,57.33,-4.48,16.0,59,40,2.6,GB,1595361225
Ardabil,38.25,48.29,23.61,40,26,1.75,IR,1595361074
Beloha,-25.17,45.05,17.26,65,30,4.92,MG,1595361087
Villa Florida,-26.38,-57.15,26.36,63,92,2.26,PY,1595361330
Severo-Kuril'sk,50.68,156.12,9.99,88,22,2.94,RU,1595361081
Vuktyl,63.86,57.31,14.89,66,0,2.76,RU,1595361330
Goundam,16.41,-3.67,32.98,34,23,1.57,ML,1595361331
Macará,-4.38,-79.95,30.57,39,82,4.15,EC,1595361331
Springbok,-29.66,17.89,12.1,40,0,0.91,ZA,1595361227
Nizhniy Tsasuchey,50.52,115.13,16.77,62,63,2.47,RU,1595361076
Vila Velha,-20.33,-40.29,25.56,73,40,7.7,BR,1595361155
Grand Baie,-20.02,57.58,20.0,64,55,1.34,MU,1595361331
Río Gallegos,-51.62,-69.22,1.0,74,0,2.1,AR,1595361228
Campo Maior,-4.83,-42.17,32.2,39,89,1.36,BR,1595361077
Ledenice,48.93,14.62,18.33,73,85,1.42,CZ,1595361077
Evensk,61.95,159.23,16.75,48,0,1.81,RU,1595361332
Saint-Pierre,-21.34,55.48,18.0,82,75,2.1,RE,1595361078
Sitka,57.05,-135.33,14.0,87,90,2.6,US,1595361332
Kampene,-3.6,26.67,23.1,49,10,0.74,CD,1595361333
